task_id,homology_config_id,minimum_sequence_identity,minimum_coverage,cluster_id,cluster_hash_sha256,representative_sequence_id,cluster_size,positive_count,negative_count,positive_fraction,mixed_label_cluster,minimum_length,maximum_length,median_length
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,H90_868a5d10b6575f85,868a5d10b6575f856e9e1338da24e53178ec34eb26b294059ada6e813b205443,2d17fc28e391d5d38e9bedb740720dfe2971fe7488370c3817382f3cd13ac5fd,181,181,0,1.0,0,15,20,19.0
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,H90_1ccbd3149a4f4cc7,1ccbd3149a4f4cc786bc3b5ba2c25fe72b2d2da0acbaddfea8a2864ade13248c,2fda6cd540fa4600fcd3a6de1b0f299a86d997bfcfd0555758982d31acc4db80,151,151,0,1.0,0,96,100,100.0
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,H90_efac609a54fc4436,efac609a54fc443637ef8e9e942c07e990d6e79af0003da85d8d22c989383c01,689d6ff57bafb387ae6d5a274f1879ba526b78950f103c2bc0a57ba1a986b745,128,0,128,0.0,0,21,21,21.0
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,H90_a37455ecc72773c2,a37455ecc72773c2112d116ea23f1e4e043a566db47a471186933d756e052b35,71e5398099ff86c8c2a069016b0c03f32ebd118d8fbc72205a13856d21073aba,123,123,0,1.0,0,20,21,21.0
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,H90_8a1dfb5fbfb866a3,8a1dfb5fbfb866a3696b3ce85adeb9f0bfaffe56f403f585690fbf4791783a9e,4f956bfefc968cbb25fc77ca3c3b9d4b80978233967fcc2ca0af291d686e80fe,76,75,1,0.9868421052631579,1,29,31,30.0
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,H90_2b0ee791539150a3,2b0ee791539150a3d1067f3ebff2cae43675bee3448500c99411bd51cb2f4ebb,09f11cd7c1390ba089a7fb68a7af075b6c35774ee836ba919af0d0452e47aff8,74,74,0,1.0,0,12,20,15.0
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,H90_510c0b3460b8a22e,510c0b3460b8a22e7b15f161ff62c29a07ef6e8b3856ba8444ad5cfafe11370d,affe6669312b48fa3dd42c66582755ccf057bc0a8334604b6e3eebb17858e47d,73,73,0,1.0,0,12,14,14.0
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,H90_c60fd5ff8d28afde,c60fd5ff8d28afde5d3e302bda5cf52101f83f722f6eb2ad287e874aa1ae780b,1b326e68b321a203d4b26a26052b1d62b916725e6dddf54928099055f824a336,73,73,0,1.0,0,10,15,13.0
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,H90_e2bb3bf686dae2dd,e2bb3bf686dae2dde3b9136fafb3fba07d3b5c3969bfcfa7a2fe9f5ac6f62ea9,0b28452c9fadbadfa723cd4ada9d39628af9031d363be80666beb212db08c18c,66,66,0,1.0,0,34,41,36.0
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,H90_455236b96733da34,455236b96733da34e2271f6c9194179111098a9aabcf85c3ee39e076259903e3,fdf849d5816de4c98ca5d3db40c71f77a71c97604b9df10d7ada7fb4d0ecdf8b,65,65,0,1.0,0,140,148,144.0
