Partition,folder,k,Seed,Algorithm,AUPRC train,AUPRC val,AUPRC test
Cluster aware,cluster_aware_k50,50,seed_7,KNN,1.0,1.0,0.7563703991184013
Cluster aware,cluster_aware_k50,50,seed_7,Logistic Regression,0.920809759943954,0.651395871132062,0.7297777626292988
Cluster aware,cluster_aware_k50,50,seed_7,Random Forest,1.0,0.9999999999999999,0.7419554257264237
Cluster aware,cluster_aware_k50,50,seed_7,SVM,0.9506590018328863,0.7367171494941149,0.7634156123199684
Cluster aware,cluster_aware_k50,50,seed_1,KNN,1.0,1.0,0.8196526455639834
Cluster aware,cluster_aware_k50,50,seed_1,Logistic Regression,0.8802846161286293,0.9349499892874106,0.812616317744964
Cluster aware,cluster_aware_k50,50,seed_1,Random Forest,1.0,1.0,0.8169468933006213
Cluster aware,cluster_aware_k50,50,seed_1,SVM,0.9285838099402629,0.9692087147554529,0.8260133107434483
Cluster aware,cluster_aware_k50,50,seed_5,KNN,1.0,1.0,0.8650862136054118
Cluster aware,cluster_aware_k50,50,seed_5,Logistic Regression,0.8778109677231566,0.8261730389145935,0.8660715570821111
Cluster aware,cluster_aware_k50,50,seed_5,Random Forest,0.9999999999999999,1.0,0.8883143918305163
Cluster aware,cluster_aware_k50,50,seed_5,SVM,0.9259613132194078,0.8854956411356087,0.8921002230538663
Cluster aware,cluster_aware_k50,50,seed_10,KNN,1.0,1.0,0.8541993072709081
Cluster aware,cluster_aware_k50,50,seed_10,Logistic Regression,0.8873586343133887,0.8725967192648793,0.8381458328478139
Cluster aware,cluster_aware_k50,50,seed_10,Random Forest,1.0,1.0,0.8675435124830193
Cluster aware,cluster_aware_k50,50,seed_10,SVM,0.933116716816634,0.9256679283992267,0.8698327217686934
Cluster aware,cluster_aware_k50,50,seed_3,KNN,1.0,1.0,0.8077740446819256
Cluster aware,cluster_aware_k50,50,seed_3,Logistic Regression,0.9036018651688487,0.6424606991215653,0.8156732476573001
Cluster aware,cluster_aware_k50,50,seed_3,Random Forest,1.0,1.0,0.8420980359131316
Cluster aware,cluster_aware_k50,50,seed_3,SVM,0.9390350385425618,0.7719538365533715,0.8498802942060499
