task_id,homology_config_id,seed,cluster_id,total_count,positive_count,negative_count,mixed_label_cluster,partition
amp_vs_without_amp_evidence,H70,0,H70_8ddf13d2178f8d51,301,240,61,1,validation
amp_vs_without_amp_evidence,H70,0,H70_16505bf2ee52cf81,213,190,23,1,validation
amp_vs_without_amp_evidence,H70,0,H70_9db39de4421f2c89,210,210,0,0,test
amp_vs_without_amp_evidence,H70,0,H70_cdf9f89bbc1922e2,192,192,0,0,test
amp_vs_without_amp_evidence,H70,0,H70_700cfc9a66f9338c,188,188,0,0,validation
amp_vs_without_amp_evidence,H70,0,H70_2f76757f124e739d,181,181,0,0,validation
amp_vs_without_amp_evidence,H70,0,H70_c0aa30c83724d999,170,169,1,1,test
amp_vs_without_amp_evidence,H70,0,H70_8adae75584c9e811,154,154,0,0,validation
amp_vs_without_amp_evidence,H70,0,H70_f93d2d8445d3a863,146,146,0,0,validation
amp_vs_without_amp_evidence,H70,0,H70_2aaee8261ddc6b26,132,0,132,0,validation
amp_vs_without_amp_evidence,H70,0,H70_addeb006792a9af8,128,0,128,0,validation
amp_vs_without_amp_evidence,H70,0,H70_8f32d374a952178f,117,0,117,0,test
amp_vs_without_amp_evidence,H70,0,H70_7124803b0046e608,96,96,0,0,validation
amp_vs_without_amp_evidence,H70,0,H70_e60e415b9fa520ff,95,95,0,0,validation
amp_vs_without_amp_evidence,H70,0,H70_2793d92a4c5096b2,89,87,2,1,test
amp_vs_without_amp_evidence,H70,0,H70_0c58b28d90adfba5,86,86,0,0,validation
amp_vs_without_amp_evidence,H70,0,H70_e0b2c87c79bd9db5,84,84,0,0,test
amp_vs_without_amp_evidence,H70,0,H70_dddd5da5a2bf90e3,82,79,3,1,validation
amp_vs_without_amp_evidence,H70,0,H70_76ee04cb484bbb3a,81,81,0,0,test
amp_vs_without_amp_evidence,H70,0,H70_8fc55779285c56f5,80,80,0,0,test
amp_vs_without_amp_evidence,H70,0,H70_dcf90a147229d7d7,75,75,0,0,validation
amp_vs_without_amp_evidence,H70,0,H70_e01683c91756fd62,73,73,0,0,validation
amp_vs_without_amp_evidence,H70,0,H70_c39727257648b96b,73,8,65,1,validation
