task_id,homology_config_id,minimum_sequence_identity,minimum_coverage,coverage_mode,cluster_mode,sequence_id,representative_sequence_id,cluster_id,amp_label,sequence_length,cluster_size,cluster_positive_count,cluster_negative_count,mixed_label_cluster
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,4535e6a4fa65d9f70c36fc9912768914b4d1ab6e5b0afa3f7f344a723758611d,4535e6a4fa65d9f70c36fc9912768914b4d1ab6e5b0afa3f7f344a723758611d,H70_0001fcc8a467fed2,1,18,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,03e3141e207746fc5bc3c7aa4c94bacfe71096ae370f65331f36b6953c966026,03e3141e207746fc5bc3c7aa4c94bacfe71096ae370f65331f36b6953c966026,H70_000614004674e45f,1,41,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,b59b77abfa3695dab3e67c712a563eaf612df7c68e8d8c366fdce9a20e803066,b59b77abfa3695dab3e67c712a563eaf612df7c68e8d8c366fdce9a20e803066,H70_0006a05e2526835d,0,15,1,0,1,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,a0f9cd421f22094becb9d70692f2ae0f6f93ea3145040aeabd9ce7dc742f72ed,a0f9cd421f22094becb9d70692f2ae0f6f93ea3145040aeabd9ce7dc742f72ed,H70_0007d6d078fe334e,1,15,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,c2ce79e5118ad2bc627e0dc48974b3fc628ff6d5ce24ebf765ac6214841f3d46,c2ce79e5118ad2bc627e0dc48974b3fc628ff6d5ce24ebf765ac6214841f3d46,H70_000b8542344ba372,1,11,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,6b42578c2531ce96a1c86e35aeda600656719a4f11040bb2eab25c2c3499f46b,6b42578c2531ce96a1c86e35aeda600656719a4f11040bb2eab25c2c3499f46b,H70_000d3338e8dca987,1,16,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,62dfe85e19273f203a5214d504d8102272c3ed136a3bec2f1cdccb1838495cd8,62dfe85e19273f203a5214d504d8102272c3ed136a3bec2f1cdccb1838495cd8,H70_0011d781bf2f736c,1,24,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,47affd4d2bce593e7e9e375e8ed2fafffca8392f66b171402efe607efe01fbf9,47affd4d2bce593e7e9e375e8ed2fafffca8392f66b171402efe607efe01fbf9,H70_0011fbd0d010d2c1,1,27,2,2,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,a383425971102325f77a397907362a69fad770160c957b77d22940160b4c56b9,47affd4d2bce593e7e9e375e8ed2fafffca8392f66b171402efe607efe01fbf9,H70_0011fbd0d010d2c1,1,30,2,2,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,072d0c9384c7676ef6ff23e85b64537fdf3f2686c4cc9cd8b14876f9506c6295,072d0c9384c7676ef6ff23e85b64537fdf3f2686c4cc9cd8b14876f9506c6295,H70_001294bcf99352ad,1,5,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,e30a78195697bec6a1f4fae6d6026c0bd024f4e0c3616b53a26a1557b856859d,e30a78195697bec6a1f4fae6d6026c0bd024f4e0c3616b53a26a1557b856859d,H70_001663d6e7c523ea,1,18,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,13302c00ba96b10de1065cf8bc2aba873a93ce9893a4ae929ba42b9acd72b556,13302c00ba96b10de1065cf8bc2aba873a93ce9893a4ae929ba42b9acd72b556,H70_00188f4ab972e561,1,33,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,61092783fcd04bcde8756ea976869d9a0da83a2b71fb5c96397db9d077bc6678,61092783fcd04bcde8756ea976869d9a0da83a2b71fb5c96397db9d077bc6678,H70_001a40861ee54689,1,17,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,7756d282251be31c4ebdb0752e3d5dfff9b35008b63abd04b5d59c0f5f75b2b4,7756d282251be31c4ebdb0752e3d5dfff9b35008b63abd04b5d59c0f5f75b2b4,H70_001c77c5cb026faf,1,13,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,1551d442db80d0b240101c45f72af6ac52d8eb18d29b5f58b84c721fa4b5df59,1551d442db80d0b240101c45f72af6ac52d8eb18d29b5f58b84c721fa4b5df59,H70_0026596450a7b73e,0,51,1,0,1,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,73191ded02a1972688b4c05210a06523dfb4a625a458e34c2ee908415238819f,73191ded02a1972688b4c05210a06523dfb4a625a458e34c2ee908415238819f,H70_002908a1e6b4b1e8,1,4,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,0564b2fadd63870f9a3226e64ed90ccebdb75a51f774c6a59ce40a4439e09176,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,1,25,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,243e0de0c643d30e01e26135084bd34774008d9035e9b64857ea646e15150dbc,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,1,26,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,2b62cd9d44f50e96ec9232ec95ab27ef9e5a74a163bf37b84e8bffca184ccdc3,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,1,25,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,4ae214d770fcc59cce55a38d7f6c08c86fbcc0319e4fc83409ab61a61aad9c5f,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,1,26,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,5786bba5ac1879ab61176cb0ad6ab5f823feabcd1adf4f513c1104946173810c,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,1,26,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,5e1d485d5f0cc82e21f62fe24b4634e8a7897bb30cb6a3a1afaa30115003a047,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,1,25,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,0,26,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,840845ba67061954020157d028a204d6d825f57404de78111e9f35734f6fdf9d,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,0,26,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,a1056df95bafdfa5dad867bc1cba40141463ace716c45c5f958049f2156d9607,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,0,25,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,a20461fae7ef42d1e6e8fdfb0527035324cfa66dbfcaaa46401b5a8ef1dc9388,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,0,25,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,b0a2f765d63ab54950e7e5a35d25ab672125ccda89dc1013a168cd83fd8c4780,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,1,25,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,b5bf18e4d4f08397c256529af1d69ed98d9acfbbb1d6925b842ef1e573dd4317,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,1,25,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,b79cc6813a096982b545dacf1653e87d6b084063bd4dc2a011a9a8009e001a6a,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,1,25,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,e5a2d65586e4ecf0d5abea4f49967b52078f7ab8050207cda3401447720b9501,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,0,26,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,fbeb9127d74d1dd6bf671fa16e3f10d5ab1dedbb017cbb3ce050cb6b1352b597,73bcd89194ddae9c23c415d95387be727fc5abfc6bd5b43a8ef713054e53c057,H70_0030c43fca8c42e0,1,25,15,10,5,1
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,79288d2eae77a9ee29d9cf52230493d2ee79626e48df6b62cc2003fa0945abba,79288d2eae77a9ee29d9cf52230493d2ee79626e48df6b62cc2003fa0945abba,H70_00327a204bce3e6a,1,13,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,34433f29ce936355aae921b9fd2df2f9be129242c00a8e8a99b2bbcfd519a378,34433f29ce936355aae921b9fd2df2f9be129242c00a8e8a99b2bbcfd519a378,H70_00329fa6513e8430,1,8,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,75fe51c294b40e92dcbf5e3c8b1ae48b564d6902b4d9280fb457221a9712da1c,7b0b207a939ff0c6e3e13903b4561b5aaabbdf66dbe1eb139a4a0da0baa82f65,H70_0033b7a9259b0eab,0,65,2,0,2,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,7b0b207a939ff0c6e3e13903b4561b5aaabbdf66dbe1eb139a4a0da0baa82f65,7b0b207a939ff0c6e3e13903b4561b5aaabbdf66dbe1eb139a4a0da0baa82f65,H70_0033b7a9259b0eab,0,65,2,0,2,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,fd94785445bca259425364fdd6557d7d3b65145fbfba737d19181d413feb054d,fd94785445bca259425364fdd6557d7d3b65145fbfba737d19181d413feb054d,H70_00359249ab214abe,1,20,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,df3e9cae3131a4355eb0f17669e4be0d30af1411551b24743b83057d402fe2dc,df3e9cae3131a4355eb0f17669e4be0d30af1411551b24743b83057d402fe2dc,H70_003659259fa634ae,1,16,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,4d2082e73b59f0a76114aa8c018ce5acf34821c92855ef9b3601615d5501a358,4d2082e73b59f0a76114aa8c018ce5acf34821c92855ef9b3601615d5501a358,H70_003780ab6408e3cb,1,25,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,11a8b8046a78fba5e01f7767f2ffbb991ba90a6027cdd230aaa52d9df13c8eb4,11a8b8046a78fba5e01f7767f2ffbb991ba90a6027cdd230aaa52d9df13c8eb4,H70_0037cfd7c5cacd29,1,12,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,38a3be8f0e6553f49ee0ba782accd3f462ada6166f6d626b0928b9b9155d85be,e46b3447a997ef493a259868ee5ed8f39f791bde793d730a73347d582de9a4a5,H70_003de4d7039522ca,1,20,4,4,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,6937b50144de5e7310bbf1d3f9196723885150a61045602d0251db6d06286907,e46b3447a997ef493a259868ee5ed8f39f791bde793d730a73347d582de9a4a5,H70_003de4d7039522ca,1,20,4,4,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,d6c9b3aa866869459d932250061aeaa42b4c58c1a9c856384c66bbc71e66572f,e46b3447a997ef493a259868ee5ed8f39f791bde793d730a73347d582de9a4a5,H70_003de4d7039522ca,1,20,4,4,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,e46b3447a997ef493a259868ee5ed8f39f791bde793d730a73347d582de9a4a5,e46b3447a997ef493a259868ee5ed8f39f791bde793d730a73347d582de9a4a5,H70_003de4d7039522ca,1,20,4,4,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,01f8999510332a487f42382a81832c8d89e6d90edd9ea2fd9daebd4e027f5152,01f8999510332a487f42382a81832c8d89e6d90edd9ea2fd9daebd4e027f5152,H70_004169def97729d7,1,17,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,b455908090f9806617f3e84c553da119795813e76460f06c03e59606ebff076e,b455908090f9806617f3e84c553da119795813e76460f06c03e59606ebff076e,H70_0041bc000bdf2aa0,1,10,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,2a3fef2b6103484b9d8a6f10527e73fb2ad9e9a51dc06793404e9c785cb4a532,ab9b865fed747734817811fdd82c6c7402ea8a6fda62fdf1a44bfbf8660cdb6d,H70_004379e191eca12c,1,96,2,2,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,ab9b865fed747734817811fdd82c6c7402ea8a6fda62fdf1a44bfbf8660cdb6d,ab9b865fed747734817811fdd82c6c7402ea8a6fda62fdf1a44bfbf8660cdb6d,H70_004379e191eca12c,1,96,2,2,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,ccebea082b6fce4e49c8d8e4a54fec326d79c4ddb78cdb449f4c5d2f801d4fd3,ccebea082b6fce4e49c8d8e4a54fec326d79c4ddb78cdb449f4c5d2f801d4fd3,H70_004a4007727d042b,1,5,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,88bf5335b095f5687a50d75735a9618dab35c235f534ab42bdbdba8f8500a829,88bf5335b095f5687a50d75735a9618dab35c235f534ab42bdbdba8f8500a829,H70_004c382846c170e9,0,49,2,0,2,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,f75d97d4adb1608060a485901cb09beff0236e23427d408f55b83f78f69629cf,88bf5335b095f5687a50d75735a9618dab35c235f534ab42bdbdba8f8500a829,H70_004c382846c170e9,0,49,2,0,2,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,de95da72d648ec67ca78830c062ad67dcfa7dc360077144d42ca07cba47563df,de95da72d648ec67ca78830c062ad67dcfa7dc360077144d42ca07cba47563df,H70_004c55923dcc5968,1,9,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,c06272a1ff39c8b8b6bfd8b560a42407a64e80f2fa008f1e95eae873a2079078,c06272a1ff39c8b8b6bfd8b560a42407a64e80f2fa008f1e95eae873a2079078,H70_004d70961c1dad20,1,15,1,1,0,0
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,1,4205ae75db32ddd8d7be801bb2a1d0897bf08be83653ebdbe65ebe552643ceff,ef67b7e82b1bb8dea20b15f735188eb10f97d4575b04066f5f4ab2dd743a95f7,H70_004e98b022b9d9da,0,15,4,0,4,0
