task_id,homology_config_id,minimum_sequence_identity,minimum_coverage,cluster_id,cluster_hash_sha256,representative_sequence_id,cluster_size,positive_count,negative_count,positive_fraction,mixed_label_cluster,minimum_length,maximum_length,median_length
amp_vs_without_amp_evidence,H90,0.9,0.9,H90_2f6b71645a12bef3,2f6b71645a12bef346823198c7b99c8091df5a7b16d1011d1a6cee6da94784d4,2d17fc28e391d5d38e9bedb740720dfe2971fe7488370c3817382f3cd13ac5fd,182,182,0,1.0,0,15,20,19.0
amp_vs_without_amp_evidence,H90,0.9,0.9,H90_30f9d571b8226587,30f9d571b82265873f0e1c0f793d48293ffd84fa43427347091e71b681b8be81,1db32d7990a3c15541bc54970d0d9c86fe301b2a71ed2c2ff8ee4fc468b575e4,152,152,0,1.0,0,20,22,21.0
amp_vs_without_amp_evidence,H90,0.9,0.9,H90_897703e5e0eea95f,897703e5e0eea95f07e8ea39f003e865702503e1ea1ceed4e06ba84c6c7a2bdc,1ced339f7060f25b7fb51f28e9eb342b3d093b9298bd4dcce3931a9c21d46bc3,150,150,0,1.0,0,96,100,100.0
amp_vs_without_amp_evidence,H90,0.9,0.9,H90_4db515c77df8843d,4db515c77df8843daef8eb611579740a79a2abb5be737aebf30690bbe1d26c54,548b345854047ec00dd77d381dcfd5f604d890165277b04c90bbe075d7b424c5,128,0,128,0.0,0,21,21,21.0
amp_vs_without_amp_evidence,H90,0.9,0.9,H90_ee5da1b6e4641749,ee5da1b6e4641749f0bb2e2611055cab5f8e513bbdda36a21a8e5a2dfb3f991c,9ca4562c4d8666dee626cc5ca0d78747d1ea3b8197a250f0d88bbeb7a36acf3a,116,116,0,1.0,0,141,148,144.0
amp_vs_without_amp_evidence,H90,0.9,0.9,H90_e3d25ee4334088ac,e3d25ee4334088acb030fcf2876bf2ea3ecffe16017b19fafbc2538ea18f1037,0b28452c9fadbadfa723cd4ada9d39628af9031d363be80666beb212db08c18c,78,78,0,1.0,0,34,41,36.0
amp_vs_without_amp_evidence,H90,0.9,0.9,H90_9284def13b98accf,9284def13b98accf271a786a62c1eb1e08bf3d6e79b65fa58c01a1ab5dcc28f4,4ebb8038672684ae32516061c27ba252d419d4bae9ed0d4e8cbac0718ba905af,76,0,76,0.0,0,12,15,14.0
amp_vs_without_amp_evidence,H90,0.9,0.9,H90_65ad494ba265cb3e,65ad494ba265cb3e9411faf7d5ce74fe1100138bb0e87273d5f1b2e7d900f0ba,09f11cd7c1390ba089a7fb68a7af075b6c35774ee836ba919af0d0452e47aff8,74,74,0,1.0,0,12,20,15.0
amp_vs_without_amp_evidence,H90,0.9,0.9,H90_01ecedaa20918eeb,01ecedaa20918eebd59392827e80deada2ae82986bae926a83f1ec26bd45898c,affe6669312b48fa3dd42c66582755ccf057bc0a8334604b6e3eebb17858e47d,73,73,0,1.0,0,12,14,14.0
amp_vs_without_amp_evidence,H90,0.9,0.9,H90_c7a4e14fb9cd9e96,c7a4e14fb9cd9e96b38af58c9821db6699117b6aa414dbbe109cccd1fb7d4eae,f1257d336456140c43d0d53776b13641b199e4d70d626ff4b45296242654bbc3,72,71,1,0.9861111111111112,1,10,15,13.0
amp_vs_without_amp_evidence,H90,0.9,0.9,H90_59a0fb920b72c433,59a0fb920b72c4333befbcbed862adf93c2d9987a8fad7d8cf801c73b9e21f42,41f26820fa1c5042dd6b2f18248b3878274d6f154c309d7ca333d82db3825eb8,63,63,0,1.0,0,48,51,51.0
